1;124517;IMOLA TINTI SCUOLE;VIA TINTI FR SCUOLE;IMOLA;714687;916263;44,366058;11,693301;510
1;124527;ZOLINO;VIA GUALANDI 10;IMOLA;714339;916157;44,365207;11,688895;510
1;124530;ZOLINO GUALANDI;VIA FRATELLI GUALANDI PL 5255;IMOLA;714446;916297;44,366435;11,690294;510
1;132102;IMOLA SAFFI CUP;V.LE SAFFI FR 26/D;IMOLA;715818;914881;44,353293;11,706907;510
1;132105;BIANCONCINI;V.LE SAFFI FR 43;IMOLA;716013;914808;44,352578;11,709321;510
1;133101;IMOLA BELVEDERE;VIA BELVEDERE FR 2;IMOLA;714559;915690;44,360943;11,691461;510
1;150109;IMOLA GRATTACIELO;V.LE DANTE 7/ABC;IMOLA;716302;914383;44,34867;11,712767;510
1;150112;IMOLA GRATTACIELO;VIALE DANTE 14;IMOLA;716317;914393;44,348756;11,712959;510
1;151111;COLOMBARINA;VIA MANZONI 6;IMOLA;716786;914436;44,349002;11,718854;510
1;151114;IMOLA LEOPARDI;VIA LEOPARDI 3;IMOLA;717090;914504;44,349522;11,722693;510
101;1005;ALBERTONI;VIA MAZZINI PL 35;BOLOGNA;687978;928979;44,48787;11,363008;500
101;1034;VILLAGGIO DUE MADONNE;VIA DOZZA FR 19/B;BOLOGNA;690586;927701;44,47569;11,395308;500
101;1503;CICOGNA;VIA EMILIA 282;SAN LAZZARO DI SAVENA;693102;926448;44,46375;11,426448;501
101;1506;SAN LAZZARO CIMITERO;VIA EMILIA FR 294;SAN LAZZARO DI SAVENA;693398;926312;44,462448;11,430115;501
101;10002;IDICE;VIA EMILIA FR 344;SAN LAZZARO DI SAVENA;693917;926056;44,460006;11,436538;511
101;10005;IDICE TRE PONTI;VIA EMILIA 452;SAN LAZZARO DI SAVENA;694575;925683;44,456474;11,444661;511
101;10018;OLMATELLO;VIA EMILIA 25;OZZANO DELL`EMILIA;696377;924850;44,448493;11,466975;511
101;10021;OZZANO;VIA EMILIA 210;OZZANO DELL`EMILIA;697072;924492;44,445084;11,475566;511
101;10034;CASETTI BONI;VIA EMILIA FR 442;OZZANO DELL`EMILIA;698746;923687;44,437385;11,496275;511
101;10037;MAGGIO;VIA EMILIA 470;OZZANO DELL`EMILIA;699182;923460;44,435223;11,501661;512
101;10050;BARCHETTA;VIA EMILIA PONENTE FR 5631;CASTEL SAN PIETRO TERME;701066;922541;44,426435;11,524954;512
101;10053;SAN NICOLO` DI VARIGNANA;VIA EMILIA PONENTE 5135;CASTEL SAN PIETRO TERME;701492;922320;44,424329;11,530215;512
101;10066;ERCOLANA;VIA EMILIA PONENTE FR CONVENTINO;CASTEL SAN PIETRO TERME;703581;921309;44,41465;11,556036;513
101;10069;MAGIONE;VIA EMILIA PONENTE BV LIANO;CASTEL SAN PIETRO TERME;704637;920763;44,409441;11,569072;513
101;10076;CASTEL S.PIETRO MARTIRI PARTIGIANI;PIAZZA MARTIRI PARTIGIANI 11;CASTEL SAN PIETRO TERME;706356;919720;44,399572;11,590226;513
101;10082;COZZO;VIA EMILIA LEVANTE FR 1420;CASTEL SAN PIETRO TERME;708079;919068;44,393215;11,611579;513
101;10089;TOSCANELLA;VIA EMILIA FR 52;DOZZA IMOLESE;710292;917952;44,382538;11,638885;514
101;10098;PIRO PIRO;VIA EMILIA 4;DOZZA IMOLESE;710951;917644;44,379576;11,647024;514
101;11814;SCANIA TORRICELLI;VIA SCANIA 571;CASTEL SAN PIETRO TERME;705692;919749;44,400022;11,581907;513
101;110101;PIRATELLO;VIA EMILIA 26;IMOLA;712862;916682;44,370365;11,670594;510
101;110104;IMOLA GALASSI;VIA EMILIA 50 MT. PRIMA BV VIA GALASSI;IMOLA;714023;916118;44,36495;11,684918;510
101;114102;IMOLA CENTRO COMMERCIALE;VIALE CARDUCCI FR 38;IMOLA;715854;915360;44,35759;11,707557;510
101;114105;IMOLA PALESTRA;VIALE CARDUCCI FR 11;IMOLA;716375;915251;44,356454;11,714042;510
101;120101;IMOLA AUTOSTAZIONE;VIA COSTA 45;IMOLA;716645;915356;44,357318;11,71747;510
101;150109;IMOLA GRATTACIELO;V.LE DANTE 7/ABC;IMOLA;716302;914383;44,34867;11,712767;510
103;11510;DUE FORNI;VIA VIARA FR 1630;CASTEL SAN PIETRO TERME;705646;917723;44,381814;11,580529;513
103;11513;SEGHERIA;VIA VIARA FR 2431;CASTEL SAN PIETRO TERME;705507;917073;44,376008;11,578529;513
103;11526;CIVICHELLA;VIA VIARA 5029;CASTEL SAN PIETRO TERME;704606;914961;44,357268;11,566401;513
103;11529;SAN MARTINO IN PEDRIOLO;VIA VIARA FR 16;CASALFIUMANESE;704276;914471;44,352954;11,562072;513
103;11542;RONCO;VIA VIARA FR MONTECERERE;CASTEL SAN PIETRO TERME;702742;913102;44,341072;11,54231;528
103;11545;FRASSINETO;VIA VIARA LATO CHIESA;CASTEL SAN PIETRO TERME;702596;912721;44,337686;11,540333;528
103;11549;MARZOCCHINA;VIA VIARA FR 9689;CASTEL SAN PIETRO TERME;701886;912014;44,331526;11,531161;528
103;11552;MOLINO NUOVO;VIA VIARA FR 10300;CASTEL SAN PIETRO TERME;701391;911705;44,328884;11,524839;528
103;11555;CASA AMEDEA;VIA VIARA FR 11155;CASTEL SAN PIETRO TERME;700990;911280;44,325173;11,519651;528
103;11568;CAREGGIANA;VIA VIARA FR 13867;CASTEL SAN PIETRO TERME;698799;910558;44,319283;11,491923;528
103;11571;S.CLEMENTE DI RIGNANO BOLOGNESE;VIA SILLARO 6;MONTERENZIO;698204;910650;44,320274;11,484504;528
103;11584;S.CLEMENTE RIGNANO B. SILLARO;VIA SILLARO FR CA` DEI MASI;MONTERENZIO;696918;910088;44,315569;11,46818;528
103;11587;VILLAGGIO SALUTE PIU`;VIA SILLARO 2;MONTERENZIO;696326;909537;44,310773;11,460556;528
103;11600;CASONA;VIA SILLARO 39;MONTERENZIO;695537;906981;44,287996;11,449716;528
103;11603;LA PINETA;VIA SILLARO BV SASSONERO;MONTERENZIO;696208;905406;44,273648;11,457527;528
103;11616;SASSOLEONE VILLANOVA;VIA SILLARO BV VILLANOVA;CASALFIUMANESE;697659;904055;44,261103;11,475182;529
103;11619;CUVIOLO BIVIO;VIA SILLARO FR BV GESSO;CASALFIUMANESE;698445;904400;44,263992;11,48515;529
103;11632;BORDONA BIVIO;VIA SILLARO 2;CASTEL DEL RIO;698158;901763;44,240351;11,48056;529
